length,sorted,reversed,random
1,219554,51718,28284
1,17067,17295,16284
1,15883,15400,17050
1,16358,15589,16455
2,105171,90142,88587
2,81188,146751,105340
2,24752,21334,22403
3,33248,33085,34025
4,70245,66146,94120
5,75714,62481,79671
6,96923,104704,1802252
7,80299,83909,92407
8,94565,92652,106559
10,123374,128564,147541
12,169926,171503,210034
15,203733,219239,255050
18,440849,443867,578451
22,694972,470914,606667
26,434325,467864,550446
31,580271,669706,743865
38,583533,614148,755227
46,811055,877612,1040019
55,912195,947232,1541503
66,1140875,1179958,1499752
79,1550577,1584945,2143552
95,1843312,1896645,2509806
114,3143811,3314893,4162589
137,3457079,3172730,4188829
164,3422194,3849095,4619654
197,18342971,19102286,20968556
237,30607157,32685023,34026811
284,37015169,37431628,43922250
341,47219267,48104042,56775029
410,54267772,54162955,65824294
492,55911113,52953204,62821214
590,6543756,6052930,9462027
708,7502675,8119553,12532406
850,8651241,8990984,14557779
1020,10456373,10807898,18240466
1224,13959277,13564048,21965398
1469,14607374,16100938,27427706
1763,20642167,20741771,33469885
2116,27137841,26317274,43891007
2539,27174293,29821413,47494075
3047,39891362,41539499,66770614
3657,42894217,45713692,77078713
4388,49503973,53489972,90668537
5266,63384769,65833110,116347087
6319,75704603,76458317,137629646
