length,sorted,reversed,random
1,59453,32467,37731
1,26312,26786,36519
1,23296,24593,35355
1,16477,15889,15686
2,38751,25909,16191
2,16219,14870,15720
2,18867,17784,18438
3,26876,33303,48335
4,28261,48759,44067
5,22919,33977,31291
6,30766,55824,51394
7,27229,55796,49470
8,49696,120454,121057
10,60312,189815,135731
12,47094,177948,122753
15,69818,328580,237865
18,76365,456795,283834
22,87125,760634,422979
26,89957,833566,507248
31,75678,867620,511235
38,281227,3795018,2028426
46,380161,6969296,3787982
55,641221,12503445,6873396
66,677372,18014487,9228586
79,738057,16733409,10851901
95,746614,7994300,7218079
114,114049,2447692,1423427
137,131446,3415996,1941881
164,158817,4974918,2828094
197,197726,7498557,4179979
237,240819,10066110,5360606
284,272037,14844004,7691442
341,310836,21051900,10753942
410,401517,30417437,15818341
492,503892,44530878,23437371
590,578593,65395505,34803437
708,749265,89765730,46558534
850,847002,130598501,64541634
1020,989103,190953851,98469886
1224,1193657,272777816,138663765
1469,1424994,391424162,201459764
1763,1798288,575318983,293105973
2116,2128064,861313609,440114890
2539,3037408,1453661676,755849340
3047,3756198,2068097908,1043684396
3657,3661348,2499260050,1278849518
4388,4380267,3900156145,2035083450
5266,5901044,6907780871,3673009449
6319,6233535,7558411898,3898672278
