length,sorted,reversed,random
1,12823,11039,12164
1,11985,10963,12103
1,12016,11022,11993
1,12096,10912,11916
2,17881,16277,16861
2,17666,16227,16620
2,17741,16264,16667
3,23242,23653,24449
4,29965,29584,31722
5,36416,37420,40505
6,43209,44815,48816
7,49319,52133,61456
8,74342,57572,113002
10,93594,75333,90037
12,87112,92907,123463
15,118613,124773,176893
18,138565,145680,190604
22,167692,178812,232368
26,198620,211055,277352
31,272630,296133,364951
38,308820,330549,443997
46,488535,543737,616027
55,527372,570005,760155
66,614272,645476,930582
79,850366,980279,1191020
95,791307,824204,1195634
114,929589,993109,1438493
137,1296805,1389772,2027014
164,1427875,1531896,2217541
197,1826684,1913024,3060489
237,2151036,2268589,3450574
284,2748336,2798290,4201516
341,3929875,3692716,5339578
410,3793247,4008781,6157632
492,4862956,4987764,7872029
590,5764705,5924593,9791404
708,6816844,7324479,12736529
850,8699013,8834516,14572959
1020,10456655,11933049,17700783
1224,12729608,13275407,21917023
1469,16759121,17996077,28367042
1763,18925562,21210470,32807432
2116,23135387,24878489,40599076
2539,31313303,30972113,54347457
3047,36056525,38034876,64421495
3657,42436703,44116214,77934992
4388,50465605,52114342,90900445
5266,60541413,65595963,110646139
6319,77488682,79944173,136516107
