length,sorted,reversed,random
1,846742,178339,35830
1,33915,75511,39396
1,36334,47131,40164
1,34849,45373,35143
2,191568,170091,222346
2,125395,202093,142480
2,126962,145995,160815
3,296424,298345,259126
4,131572,9446280,2610367
5,109015,125285,158108
6,179120,163522,204892
7,392879,160847,157164
8,133252,128290,204273
10,187916,172942,211282
12,257897,247774,298106
15,377128,363230,433463
18,2313989,2018222,1786736
22,5506113,2453480,2450021
26,3016365,3366969,2982915
31,4269350,3311680,3046247
38,1784370,1695120,2215181
46,4415314,8030924,3362054
55,4832572,4754447,6139930
66,3947340,4116855,4058908
79,1035866,1051624,1247268
95,1331103,1278964,1658996
114,1949918,1860449,2236476
137,2201602,2180591,2583172
164,4008432,4033502,4598851
197,4936330,6007428,5266076
237,11231689,11435077,19851890
284,19295404,18038138,13306517
341,21078224,22390426,18400482
410,23772872,22318618,23538323
492,33994851,30467200,31733936
590,60826476,53642878,60157213
708,76180832,61724912,58549952
850,102071173,98500268,82514205
1020,134184524,127001197,116793752
1224,138010616,125363129,121915966
1469,209141965,189436820,189304287
1763,327559869,297374943,291306475
2116,413852645,406766944,386075079
2539,700223312,630291220,614388974
3047,936886401,912733388,893738490
3657,1673870658,1597419673,1624474714
4388,2557388580,2471750685,2629762619
5266,3151079806,3075670825,3226729226
6319,5246674564,5142884335,5360850352
